scheme_name,min_sip,expense_ratio,fund_size_cr,risk_level,rating,category,returns_1yr,returns_3yr
Aditya Birla SL Active Debt Multi-Mgr FoF-Dir Growth,100,0.27,10,3,3,Other,4,6.5
Aditya Birla SL Arbitrage Fund,1000,0.36,4288,1,3,Hybrid,5.6,4.8
Aditya Birla SL Asset Allocator FoF-Dir Growth,1000,0.53,157,5,3,Other,2,18.9
Aditya Birla SL Bal Bhavishya Yojna â€“ Dir Growth,500,0.76,637,6,2,Solution Oriented,-0.7,17.1
Aditya Birla SL Balanced Advantage Fund,100,0.61,6386,6,4,Hybrid,4.5,18.6
Aditya Birla SL Banking&Financial Services-DirGrowth,1000,1.17,2384,6,2,Equity,5.3,24.6
Aditya Birla SL Banking&PSU Debt Fund,1000,0.37,7994,3,4,Debt,4.5,6.8
Aditya Birla SL CEF â€“ Global Agri Plan-Direct Growth,1000,1.29,15,6,0,Equity,-10.3,29.4
Aditya Birla SL Corporate Bond Fund,100,0.31,12120,2,4,Debt,4.9,7.1
Aditya Birla SL Credit Risk Fund,100,0.69,1032,4,4,Debt,8.7,9
Aditya Birla SL Digital India Fund,100,0.88,3338,6,0,Equity,-14.6,39.8
Aditya Birla SL Dividend Yield Fund,1000,1.73,850,6,0,Equity,6.2,30.5
Aditya Birla SL Dynamic Bond Fund,1000,0.64,1795,3,5,Debt,7.5,8
Aditya Birla SL Equity Advantage Fund,1000,1.14,4836,6,1,Equity,-9.9,22.3
Aditya Birla SL Equity Hybrid â€™95 Fund,100,1.01,7046,6,2,Hybrid,-5.7,20.4
Aditya Birla SL Equity Savings Fund,1000,1.21,451,4,2,Hybrid,0.8,11.7
Aditya Birla SL Flexi Cap Fund,100,0.86,15449,6,3,Equity,-2.1,25
Aditya Birla SL Floating Rate Fund,1000,0.23,12364,2,5,Debt,5.8,6.4
Aditya Birla SL Focused Equity Fund,1000,1.06,5633,6,3,Equity,-0.7,24
Aditya Birla SL FP FoF â€“ Aggressive â€“ Direct Growth,100,0.22,159,6,3,Other,2.5,21.7
Aditya Birla SL FP FoF â€“ Conservative â€“ Direct Growth,100,0.34,14,4,4,Other,4.7,13.3
Aditya Birla SL FP FoF â€“ Moderate â€“ Direct Growth,100,0.36,28,5,3,Other,3.7,17.3
Aditya Birla SL Frontline Equity Fund,100,1.03,21131,6,3,Equity,1.6,26.3
Aditya Birla SL Global Emerging Oppt Fund,100,0.7,261,6,0,Other,-5.7,18.8
Aditya Birla SL Gold Fund,100,0.15,278,5,2,Other,11.8,12.1
Aditya Birla SL Govt Securities Fund,1000,0.29,1351,3,3,Debt,3.6,6
Aditya Birla SL Income Fund,1000,0.49,1496,3,4,Debt,3.5,7.1
Aditya Birla SL India GenNext Fund,1000,0.82,3217,6,3,Equity,4.6,25
Aditya Birla SL Infrastructure Fund,1000,1.7,562,6,2,Equity,13.5,35.6
Aditya Birla SL Inter Equity â€“ Plan A-Direct Growth,1000,1.75,108,6,0,Equity,0.9,17.7
Aditya Birla SL Inter Equity â€“ Plan B-Direct Growth,1000,2.15,90,6,0,Equity,-4.1,22.7
Aditya Birla SL Liquid Fund,500,0.21,28071,3,4,Debt,5.7,4.4
Aditya Birla SL Low Duration Fund,100,0.39,10035,3,4,Debt,5.7,6.5
Aditya Birla SL Manufacturing Equity Fund,1000,1.56,613,6,0,Equity,-2.9,21.7
Aditya Birla SL Medium Term Plan â€“ Direct Growth,1000,0.86,1652,4,5,Debt,22.1,14.5
Aditya Birla SL Midcap Fund,1000,1.2,3436,6,1,Equity,-3.6,28
Aditya Birla SL Money Manager Fund,1000,0.21,13095,3,4,Debt,5.6,5.6
Aditya Birla SL Nifty 50 Index Fund,1000,0.32,494,6,3,Other,0.7,25.5
Aditya Birla SL Overnight Fund,0,0.07,13399,1,3,Debt,5.4,3.9
Aditya Birla SL Pure Value Fund,1000,1.12,3798,6,1,Equity,3,29.8
Aditya Birla SL Regular Savings Fund,500,0.92,1585,4,3,Hybrid,3.6,13.9
Aditya Birla SL Retirement-The 30s Plan-Dir Growth,500,1.06,258,6,2,Solution Oriented,0,17.9
Aditya Birla SL Retirement-The 40s Plan-Dir Growth,500,1.07,91,6,2,Solution Oriented,-0.1,15
Aditya Birla SL Retirement-The 50s Plan-Dir Growth,500,0.63,27,4,2,Solution Oriented,3,4.6
Aditya Birla SL Retirement-The 50sPlus-Debt-DirGrowth,500,0.85,26,3,1,Solution Oriented,2.9,4.6
Aditya Birla SL Savings Fund,1000,0.34,14457,3,4,Debt,5.5,5.8
Aditya Birla SL Short Term Fund,1000,0.38,5045,3,4,Debt,5.5,7.8
Aditya Birla SL Small Cap Fund,1000,1.04,2901,6,1,Equity,-2.3,31.6
Aditya Birla SL Tax Relief â€™96 â€“ Direct Growth,500,0.93,12755,6,1,Equity,-3,16.1
